# Spanish promotion measurement sample
# format: word|part-of-speech|kind
casa|noun|headword
libro|noun|headword
escuela|noun|headword
ciudad|noun|headword
pueblo|noun|headword
calle|noun|headword
coche|noun|headword
tren|noun|headword
avión|noun|headword
agua|noun|headword
comida|noun|headword
bebida|noun|headword
familia|noun|headword
niño|noun|headword
mujer|noun|headword
hombre|noun|headword
amigo|noun|headword
profesor|noun|headword
estudiante|noun|headword
idioma|noun|headword
palabra|noun|headword
pregunta|noun|headword
respuesta|noun|headword
tiempo|noun|headword
día|noun|headword
noche|noun|headword
mañana|noun|headword
trabajo|noun|headword
dinero|noun|headword
mundo|noun|headword
comer|verb|headword
beber|verb|headword
leer|verb|headword
escribir|verb|headword
buscar|verb|headword
ver|verb|headword
oír|verb|headword
hablar|verb|headword
venir|verb|headword
ir|verb|headword
tener|verb|headword
dar|verb|headword
comprar|verb|headword
vender|verb|headword
abrir|verb|headword
cerrar|verb|headword
dormir|verb|headword
despertar|verb|headword
aprender|verb|headword
enseñar|verb|headword
bueno|adjective|headword
malo|adjective|headword
grande|adjective|headword
pequeño|adjective|headword
largo|adjective|headword
corto|adjective|headword
rápido|adjective|headword
lento|adjective|headword
caliente|adjective|headword
frío|adjective|headword
nuevo|adjective|headword
viejo|adjective|headword
joven|adjective|headword
fácil|adjective|headword
difícil|adjective|headword
fuerte|adjective|headword
débil|adjective|headword
bonito|adjective|headword
feliz|adjective|headword
muy|adverb|headword
siempre|adverb|headword
nunca|adverb|headword
ahora|adverb|headword
ayer|adverb|headword
hoy|adverb|headword
aquí|adverb|headword
allí|adverb|headword
con|function|headword
sin|function|headword
para|function|headword
casas|noun|inflected
libros|noun|inflected
ciudades|noun|inflected
lápices|noun|inflected
pequeña|adjective|inflected
bonita|adjective|inflected
felices|adjective|inflected
hablando|verb|inflected
hablado|verb|inflected
comiendo|verb|inflected
comido|verb|inflected
viviendo|verb|inflected
vivido|verb|inflected
tengo|verb|inflected
tiene|verb|inflected
hago|verb|inflected
hace|verb|inflected
voy|verb|inflected
va|verb|inflected
fueron|verb|inflected
