# Malay promotion measurement sample
# format: word|part-of-speech|kind
rumah|noun|headword
buku|noun|headword
sekolah|noun|headword
bandar|noun|headword
kampung|noun|headword
jalan|noun|headword
kereta|noun|headword
bas|noun|headword
kapal|noun|headword
air|noun|headword
makanan|noun|headword
minuman|noun|headword
keluarga|noun|headword
anak|noun|headword
ibu|noun|headword
bapa|noun|headword
kawan|noun|headword
guru|noun|headword
pelajar|noun|headword
bahasa|noun|headword
kata|noun|headword
soalan|noun|headword
jawapan|noun|headword
masa|noun|headword
hari|noun|headword
malam|noun|headword
pagi|noun|headword
kerja|noun|headword
wang|noun|headword
dunia|noun|headword
makan|verb|headword
minum|verb|headword
baca|verb|headword
tulis|verb|headword
cari|verb|headword
lihat|verb|headword
dengar|verb|headword
cakap|verb|headword
datang|verb|headword
pergi|verb|headword
ambil|verb|headword
beri|verb|headword
beli|verb|headword
jual|verb|headword
buka|verb|headword
tutup|verb|headword
tidur|verb|headword
bangun|verb|headword
belajar|verb|headword
ajar|verb|headword
baik|adjective|headword
buruk|adjective|headword
besar|adjective|headword
kecil|adjective|headword
panjang|adjective|headword
pendek|adjective|headword
cepat|adjective|headword
lambat|adjective|headword
panas|adjective|headword
sejuk|adjective|headword
baru|adjective|headword
lama|adjective|headword
muda|adjective|headword
tua|adjective|headword
mudah|adjective|headword
susah|adjective|headword
kuat|adjective|headword
lemah|adjective|headword
cantik|adjective|headword
gembira|adjective|headword
sangat|adverb|headword
selalu|adverb|headword
kadang-kadang|adverb|headword
sekarang|adverb|headword
esok|adverb|headword
semalam|adverb|headword
di sini|adverb|headword
di sana|adverb|headword
dengan|function|headword
tanpa|function|headword
buku-buku|noun|inflected
rumah-rumah|noun|inflected
berjalan|verb|inflected
bercakap|verb|inflected
terbuka|verb|inflected
ditutup|verb|inflected
diberikan|verb|inflected
kesukaran|noun|inflected
kebaikan|noun|inflected
mengambil|verb|inflected
membaca|verb|inflected
menulis|verb|inflected
mencari|verb|inflected
melihat|verb|inflected
mendengar|verb|inflected
menjual|verb|inflected
pengajar|noun|inflected
pembaca|noun|inflected
penulis|noun|inflected
pencari|noun|inflected
