# French promotion measurement sample
# format: word|part-of-speech|kind
maison|noun|headword
livre|noun|headword
chat|noun|headword
chien|noun|headword
école|noun|headword
ville|noun|headword
travail|noun|headword
temps|noun|headword
jour|noun|headword
année|noun|headword
enfant|noun|headword
femme|noun|headword
homme|noun|headword
ami|noun|headword
famille|noun|headword
eau|noun|headword
pain|noun|headword
route|noun|headword
question|noun|headword
réponse|noun|headword
chercher|verb|headword
parler|verb|headword
manger|verb|headword
boire|verb|headword
lire|verb|headword
écrire|verb|headword
voir|verb|headword
venir|verb|headword
aller|verb|headword
faire|verb|headword
prendre|verb|headword
donner|verb|headword
trouver|verb|headword
comprendre|verb|headword
apprendre|verb|headword
ouvrir|verb|headword
finir|verb|headword
choisir|verb|headword
vivre|verb|headword
aimer|verb|headword
grand|adjective|headword
petit|adjective|headword
bon|adjective|headword
mauvais|adjective|headword
nouveau|adjective|headword
vieux|adjective|headword
beau|adjective|headword
jeune|adjective|headword
facile|adjective|headword
difficile|adjective|headword
rapide|adjective|headword
lent|adjective|headword
important|adjective|headword
possible|adjective|headword
heureux|adjective|headword
triste|adjective|headword
chaud|adjective|headword
froid|adjective|headword
fort|adjective|headword
faible|adjective|headword
vite|adverb|headword
lentement|adverb|headword
souvent|adverb|headword
toujours|adverb|headword
jamais|adverb|headword
ici|adverb|headword
ailleurs|adverb|headword
maintenant|adverb|headword
demain|adverb|headword
hier|adverb|headword
mais|function|headword
avec|function|headword
sans|function|headword
pour|function|headword
dans|function|headword
entre|function|headword
sur|function|headword
sous|function|headword
avant|function|headword
après|function|headword
maisons|noun|inflected
livres|noun|inflected
chats|noun|inflected
chiens|noun|inflected
écoles|noun|inflected
villes|noun|inflected
années|noun|inflected
enfants|noun|inflected
femmes|noun|inflected
amis|noun|inflected
parle|verb|inflected
mange|verb|inflected
boit|verb|inflected
lit|verb|inflected
écrit|verb|inflected
voit|verb|inflected
vient|verb|inflected
fait|verb|inflected
prend|verb|inflected
heureuse|adjective|inflected
